dataset,Dyna.-Pla,,Dyna.-S2 seg,,BEN-MM,PASTIS-MM,PASTIS-HD classif,,,,FLAIR,,,Dyna.-MM,OSCD,Dyna.-S2 CD,,LEVIR-CD,fMoW-S2,,BEN-S2,,,RESISC-45,,,,,,,RSD46,,,AID,,,,,PatternNet,,,FAIR1M,DIOR-R,DIOR,Potsdam,,,,,,,iSAID,UCMerced,,,,,,,,RSSCN7,Vaihingen,,,,DGLCC,,,DLRSD,,,LEVIR-OD,,,,LEVIR_CS Cloud,LEVIR_CS Snow,MLRSNet,BigEarthNet 19cls,fMoW-RGB single,,NAIP LC,GeoImageNet,So2Sat,fMoW temporal,,xView OD,SpaceNet BD,SpaceNet2 SR,,EuroSat,,,,,NaSC-TG2,,,Onera CD,Sen12MS,DOTA-V1.0,,,,DOTA-V2.0,LoveDA,HRCS2016,CDD,GID,NWPUVHR-10,UCAS-AOD,HRSC2016,CaiRoad,,CalFire,,DSFIN,WHU Aerial,Inria,SpaceNet2 Shanghai,SpaceNet2 Vegas,SpaceNet2 Paris,SpaceNet2 Khartoum,Canadian Cropland,DFC2020,DW-Expert,MARIDA,GeoNRW RGB,,GeoNRW RGB-DEM,,Sen1Floods11,HLSBurnScars Prithvi,SegMunich,SVCD/CDD,m-bigearthnet,,m-forestnet,m-brick-kiln,m-pv4ger,m-so2sat,m-cashew-plantation,m-SA-crop-type,TreeSatAI,,,,TreeSatAI-TS,,,,m-eurosat,Landslide4sense,,Sen4Map land cover,,,Sen4Map crop type,,
ViTAEv2-S IN,,,,,,,,,,,,,,,,,,"91,26",,,,,,,"95,29","93,9",,,,,,,,"98,08","96,61",,,,,,,,,,,,91,"91,6",,,,"65,3",,"99,43",,,"99,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,38",,,,,,"90,4","97,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSP Resnet50,,,,,,,,,,,,,,,,,,"90,1",,,,,,,"95,02","93,93",,,,,,,,"97,89","96,81",,,,,,,,,,,,"89,96","90,61",,,,"61,6",,,,,"99,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,5",,,,,,"90,3",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSP Swin-T,,,,,,,,,,,,,,,,,,"90,1",,,,,,,"94,51","93,02",,,,,,,,"98,3","96,83",,,,,,,,,,,,"90,03","90,78",,,,"64,1",,,,,"99,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,12",,,,,,90,"95,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSP ViTAEv2-S,,,,,,,,,,,,,,,,,,"90,93",,,,,,,"95,6","94,41",,,,,,,,"98,22","96,91",,,,,,,,,,,,"90,64","91,21",,,,"64,3",,,,,"99,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,72",,,,,,"90,4","96,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATTER,,,,,,,,,,,,,,,"59,37",,,,,,"87,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,12",,,,,,,,,,,"59,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSPT ViT-L,,,,,,,,,,,,,,,,,,,,,,,,,"95,62",,,,,,,,,,"96,3",,,,,,,,,"71,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSPT ViT-B,,,,,,,,,,,,,,,,,,,,,,,,,"95,18",,,,,,,,,,"96,75",,,,,,,,,"69,8","78,7",,,,,,,,,,,,,,,,,,,"74,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,97","88,9","90,3","90,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOLOv5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFM ViT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,52",,,,"90,87","91,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,49","51,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFM ViT-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,11",,,,"91,75","92,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,52","52,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFM ViT-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,15",,,,"92,02","92,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,77","53,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFM ViT-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,62",,,,"92,12","92,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,69","54,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOV ResNet50,"32,1","37,8",,,,,,,,,,,,,,,,,,,,,,,"93,79","90,97",,"62,89","76,6","83,57","33,76","45,55","52,96","97,09","95,16","78,55","84,95","88,55","73,68","76,02","85,38","49,62","66,33","70,16",,,"92,03",,"50,23","49,15","60,34","66,24",,,,,,"61,52","70,48","83,81",,,,,,"35,86","41,81","41,31","6,9","17,83","39,29",,"10,9","12,8","30,4",,,,,,,,,,,,,,,,,,"74,7","87,35","89,54","85,57","92,27","95,05",,,,"7,2","11,7","26,1",,"49,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMID ResNet50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,35",,"93,11","92,94",,,,,,,,,"99,22",,,,,,"90,23","79,44","88,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,63",,,,,,,"96,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMID Swin-B,"36,4","43,5",,,,,,,,,,,,,,,,"91,72",,,,,,,"95,53","94,05",,,,,,,,"97,79","96,11",,,,,,,"50,58","66,37","75,11","88,36",,"93,7","93,52",,,,"66,21",,,,,"99,48",,,,,,"90,5","80,01","88,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,36",,,,,,,"97,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDPM-CD,,,,,,,,,,,,,,,,,,,,,"67,31","65,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACo,"35,4","51,29","42,5","30,2",,,,,,,,,,,"52,11","15,3","15,8","81,64",,"50,72",87,"81,3",,,"91,94","88,28",,,,,,,,"95,05","90,88",,,,,,,"47,83","64,1","66,91",,,"91,35",,,,,"64,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,94",,,"97,77",,,,,,,,,,,,,,,"48,89",,,,,,,"44,38","35,99","65,71","53,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFM Swin-B,,,,,,,,,,,,,,,"59,82",,,"91,73",,,,"86,3","80,7",,"94,64","92,73",,,,,,,,"97,09","95,47",,,,,,,"49,69","67,67","72,84",,,"91,85",,,,,"66,62",,,99,,,,,,,,,"75,3",,,,,,,,,,,,,,,,,,,,,,,,,"22,599","63,8",,,,,,,,,"59,82",,,,,,,,,,,,,,,,,,"71,24","90,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale-MAE ViT-L,,,,,,,"51,9","46,1",,"42,2",70,61,"67,3",,,,,"92,07",,,,,,,"95,7","92,63",,,,,,,,"97,58","96,44",,,,,,,"48,31","66,47","73,81",,,"91,54",,,,,"65,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,9",,,,,,,"78,9",,,"98,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,2","82,2","87,4","81,1","77,1",,,,,,,,,,,,,,,,,,,,,"63,6","55,2",,"62,5","63,6","31,5",,"60,4",,,,,,,,,
Scale-MAE ViT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINO-MC ViT-S,,,,,,,,,,,,,,,,,,,,,"88,69","84,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINO-MC Swin-T,,,,,,,,,,,,,,,,,,,,,"88,75","83,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINO-MC ResNet50,,,,,,,,,,,,,,,"52,46",,,,,,"86,86","82,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINO-MC WRN-50-2,,,,,,,,,,,,,,,"52,7",,,,,,"87,22","82,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROMA ViT-B,,,,,,,,,,,,,,,,,,,"54,47",61,,"87,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,17","46,67","58,55","65,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROMA ViT-L,,,,,,,,"56,7","56,1","60,1",,,,,,,,,"59,02","63,59",,"88,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,07","49,78","58,71","63,32",,,,,"90,9",,,,,,,,,,,,,"55,7","12,7",61,,,,,,,,,,,,,
Cross-Scale MAE ViT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,17",,,,,,,,,,,,,,,,,,,"76,03",,,,,,,,,,,,,,,,"69,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeCUR ResNet50,,,,,"89,8",,,,,,,,,,,,,,,,,"87,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,7","35,7","48,9","36,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkySense Swin-H,"39,7","46,5","46,2","33,1",,,,,,,,,,,"60,06","15,4",18,"92,58",,"64,38","92,09","88,67",,,"96,32","94,85",,,,,,,,"98,6","97,68",,,,,,,"54,57","74,27","78,73",,,"93,99",,,,,"70,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SatLas Swin-B,"37,4","40,7","43,5","31,9",,,,,,,,,,,,"13,3","17,8","90,62",,"57,95","88,37","82,8",,,"94,7",,,,,,,,,"97,38","94,96",,,,,,,"46,19","67,59","74,1",,,"91,28",,,,,"68,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SatLas ResNet50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,5",,,,"37,1","76,4","20,5",,,,,,,,,,,,,,,,,
Prithvi ViT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,4","86,9",,,,,,,,,,,,,,,,,,,,,,"74,5","72,4","59,4",83,"81,5","70,5"
RingMo-Lite Swin-T ,,,,,,,,,,,,,,,,,,"91,56",,,,,,,"93,25","89,85",,,,,,,,"96,54","93,86",,,,,,,"44,1",,"73,4",,,,"90,96",,,,"66,53",,,,,"99,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpectralGPT,,,,,,,,,,,,,,,"53,51",,,,,,,"85,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,8",,,,,,,,,,,,,,,,,,,,,,,,,,
SpectralGPT+,,,,,,,,,,,,,,,"54,29",,,,,,,"87,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,
SatMAE++ ViT-B,,,,,,,,,,,,,,,,,,,,"62,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SatMAE++ ViT-L,,,,,,,,,,,,,,,,,,,,"63,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msGFM Swin-B,,,,,,,,,,,,,,,,,,,,,"92,9","87,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,8",,,,,,,,,,,,,,,,,,,,,,,,,"22,85","66,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTP ViT-B RVSA,,,,,,,,,,,,,,,"53,36",,,"92,22",,,,,,,"95,57",,,,,,,,,,,,,,,,,"51,92","71,29","79,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,4","79,63",,,"98,76",,,,,,,,,,"80,67",,,,"56,08","52,39",,,,,,,,,,,,"94,32",,,,,,,,,,,,,,,,,"97,87",,,,,,,,,,,,,,,,,,,,,,,,,
MTP ViT-L RVSA,,,,,,,,,,,,,,,"55,92",,,"92,67",,,,,,,"95,88",,,,,,,,,,,,,,,,,53,"74,54","81,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,4","79,54",,,"98,78",,,,,,,,,,"81,66",,,,"58,41","54,17",,,,,,,,,,,,"92,67",,,,,,,,,,,,,,,,,"97,98",,,,,,,,,,,,,,,,,,,,,,,,,
MTP InternImage-XL,,,,,,,,,,,,,,,"55,61",,,"92,54",,,,,,,"96,27",,,,,,,,,,,,,,,,,"50,93","72,17",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,2","79,16",,,"99,24",,,,,,,,,,"80,77",,,,"55,13","54,17",,,,,,,,,,,,"95,59",,,,,,,,,,,,,,,,,"98,33",,,,,,,,,,,,,,,,,,,,,,,,,
DOFA ViT-B,,,,,,,,,,,,,,,,,,,,,,,,,"97,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,6",,,,,,,,,,,,,,,,,,,,,,,,,,
DOFA ViT-L,,,,,,,"54,8","53,4","41,5","55,7","74,9",61,"72,1",,,,,,,,,,,,"97,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,5",57,"19,3","71,6","67,5","39,4",0,"71,3",,,,,,,,,
MP-MAE ConvNext V2-Atto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,1",,,,"54,6","79,8","38,2",,,,,,,,,,,,,,,,,
OmniSat,,,,,,,"59,3","70,8",69,"69,9","73,4","65,4","71,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,9","57,1","6,4","70,4","70,5","62,9","56,7","74,2",,,,,,,,,
Oreole-MR ViT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,73",,,,,,,,"68,58","75,5",,,"92,01",,,,,,,"99,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,44",,,,"86,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oreole-MR ViT-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,15",,,,,,,,,,,,"92,18",,,,,,,"99,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,83",,,,"89,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oreole-MR ViT-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,71",,,,,,,,"71,31","77,4",,,"92,2",,,,,,,"99,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,"79,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oreole-MR ViT-e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prithvi 2.0 ViT-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,"89,3",,,,,,,,,,,,,,,,,,,,,,76,"73,9","61,2","84,4","82,8","72,2"
Prithvi 2.0 ViT-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,3","90,5",,,,,,,,,,,,,,,,,,,,"71,3","67,1","76,1","74,1","62,3","84,6","82,6","70,8"
AnySat,,,,,,,,,,"72,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,1",,,,,,,,,,,,,,,,,,,"75,1",,,,,,,,,