dataset,Dyna.-Pla,Unnamed: 2_level_0,Dyna.-S2 seg,Unnamed: 4_level_0,BEN-MM,PASTIS-HD classif,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,FLAIR,Unnamed: 12_level_0,Unnamed: 13_level_0,OSCD,Dyna.-S2 CD,Unnamed: 17_level_0,LEVIR-CD,fMoW-S2,Unnamed: 20_level_0,BEN-S2,Unnamed: 22_level_0,Unnamed: 23_level_0,RESISC-45,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,RSD46,Unnamed: 32_level_0,Unnamed: 33_level_0,AID,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0,Unnamed: 38_level_0,PatternNet,Unnamed: 40_level_0,Unnamed: 41_level_0,FAIR1M,DIOR-R,DIOR,Potsdam,Unnamed: 46_level_0,Unnamed: 47_level_0,Unnamed: 48_level_0,Unnamed: 49_level_0,Unnamed: 50_level_0,Unnamed: 51_level_0,iSAID,UCMerced,Unnamed: 54_level_0,Unnamed: 55_level_0,Unnamed: 56_level_0,Unnamed: 57_level_0,Unnamed: 58_level_0,Unnamed: 59_level_0,Unnamed: 60_level_0,RSSCN7,Vaihingen,Unnamed: 63_level_0,Unnamed: 64_level_0,Unnamed: 65_level_0,DGLCC,Unnamed: 67_level_0,Unnamed: 68_level_0,DLRSD,Unnamed: 70_level_0,Unnamed: 71_level_0,LEVIR-OD,Unnamed: 73_level_0,Unnamed: 74_level_0,Unnamed: 75_level_0,LEVIR_CS Cloud,LEVIR_CS Snow,MLRSNet,BigEarthNet 19cls,fMoW-RGB single,Unnamed: 81_level_0,NAIP LC,GeoImageNet,So2Sat,fMoW temporal,Unnamed: 86_level_0,xView OD,SpaceNet BD,SpaceNet2 SR,Unnamed: 90_level_0,EuroSat,Unnamed: 92_level_0,Unnamed: 93_level_0,Unnamed: 94_level_0,Unnamed: 95_level_0,NaSC-TG2,Unnamed: 97_level_0,Unnamed: 98_level_0,Onera CD,Sen12MS,DOTA-V1.0,Unnamed: 102_level_0,Unnamed: 103_level_0,Unnamed: 104_level_0,DOTA-V2.0,LoveDA,HRCS2016,CDD,GID,NWPUVHR-10,UCAS-AOD,HRSC2016,CaiRoad,Unnamed: 114_level_0,CalFire,Unnamed: 116_level_0,DSFIN,WHU Aerial,Inria,SpaceNet2 Shanghai,SpaceNet2 Vegas,SpaceNet2 Paris,SpaceNet2 Khartoum,Canadian Cropland,DFC2020,DW-Expert,MARIDA,GeoNRW RGB,Unnamed: 129_level_0,GeoNRW RGB-DEM,Unnamed: 131_level_0,Sen1Floods11,HLSBurnScars Prithvi,SegMunich,SVCD/CDD,m-bigearthnet,Unnamed: 137_level_0,m-forestnet,m-brick-kiln,m-pv4ger,m-so2sat,m-cashew-plantation,m-SA-crop-type,TreeSatAI,Unnamed: 145_level_0,Unnamed: 146_level_0,Unnamed: 147_level_0,TreeSatAI-TS,Unnamed: 149_level_0,Unnamed: 150_level_0,Unnamed: 151_level_0,m-eurosat,Landslide4sense,Unnamed: 154_level_0,Sen4Map land cover,Unnamed: 156_level_0,Unnamed: 157_level_0,Sen4Map crop type,Unnamed: 159_level_0,Unnamed: 160_level_0
variant,test mIoU,val mIoU,val mIoU,test mIoU,100%,macro f1 VHR 100%,macro f1 S2 100%,macro f1 S1 100%,macro f1 All 100%,macro f1 All 100%,macro f1 S2 100%,macro f1 VHR 100%,f1,test SCS,val SCS,f1,top1acc 10%,top1acc 100%,mAP,mAP 10%,1%,f1,20% OA,10% OA,95H f1,5 samples OA,20 samples OA,50 samples OA,5 samples OA,20 samples OA,50 samples OA,50%,20%,5 samples OA,20 samples OA,50 samples OA,5 samples OA,20 samples OA,50 samples OA,mAP,mAP,mAP50,mIoU,mIoU rand split,mf1,OA,0.5% mIoU ,1% mIoU,5% mIoU,mIoU,"37,5% (50% of 75%)",50%,60%,75%,80% OA,5 samples OA,20 samples OA,50 samples OA,Unnamed: 61_level_1,rand split mIoU,OA mmseg splits,mIoU mmseg splits,mF1 mmseg splits,0.5% mIoU,1% mIoU,5% mIoU,0.5% mIoU,1% mIoU,5% mIoU,Unnamed: 72_level_1,0.5% mAP50,1% mAP50,5% mAP50,Unnamed: 76_level_1,Unnamed: 77_level_1,Unnamed: 78_level_1,Unnamed: 79_level_1,f1,top1acc,top1acc,top1acc,Unnamed: 84_level_1,f1,top1acc,AP50 700 samples,mIoU,PSNR,SSIM,top1acc (OA),f1,5 samples OA,20 samples OA,50 samples OA,5 samples OA,20 samples OA,50 samples OA,f1,f1,mAP,0.5% mAP50,1% mAP50,5% mAP50,mAP,mIoU,mAP,f1,mIoU,10% top1acc,Unnamed: 111_level_1,Unnamed: 112_level_1,AP50,AP400,AP10,AP40,f1,mIoU,mIoU,mIoU,mIoU,mIoU,mIoU,top1Acc,mIoU,mIoU,mIoU,mIoU 100%,mIoU 1%,mIoU 100%,mIoU 1%,mIoU,mIoU,mIoU,Unnamed: 135_level_1,OA,f1,OA,OA,OA,OA,IoU,IoU,VHR wf1 100%,S2 wf1 100%,S1 wf1 100%,All wf1 100%,VHR wf1 100%,S2 wf1 100%,S1 wf1 100%,All wf1 100%,OA,mIoU 100%,mIoU 2.5%,mf1 100%,mf1 50%,"mf1 6,25%",mf1 100%,mf1 50%,"mf1 6,25%"
GeoKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,58",,,,,,,,,,"97,02",,,,,"94,43",,,,,,,,,,,"76,32",,,,"76,22","57,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResNet50 IN,,,,,,"59,3",,,,,,,"48,61",,,"89,19",,,"86,74","80,04",,90.0,,,85.0,"58,13","71,92","78,98","33,34","47,36","52,72","95,58","94,67","71,6","81,65","86,1","72,06","77,5","84,16",,"65,1","69,8","85,69","81,94","92,11",92,"38,59","39,77","51,79","66,24","90,22",,,"95,62","98,81","66,57","75,24",,"92,29","70,15","90,21","78,53","87,65","29,3","33,47","39,65","3,41","12,44","29,76","73,7","12,5",11,"27,8","73,44",47,,,,"69,07",,,"60,84","68,72","73,22","14,44",,,,,91.0,"65,61",,"84,61","84,05","92,67","95,47",,77.0,,"4,8","7,9","22,5","53,64","51,27",,,,,,,,,,,,"88,5",,,,,,,,,,"38,8","17,5",44,"22,1",,,,,,,,,,,,,,,,,,,,,,,"65,5",,,,,,
ResNet18 IN,,"43,78",,,,,,,,,,,"35,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,44",,,,,,,,"36,2",,,,,,,,,,,,,,"41,79","32,26","52,61","44,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRN-50-2 IN,,,,,,,,,,,,,"49,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoCo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,2",,,,,,,"90,73",,,"93,78",,,,,"90,24","68,19",,,,,,,,,,,,,,"73,38","44,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimCLR,,,,,,,,,,,,,,,,,,,,,,,,,,"55,59","70,41","78,38","27,91","37,83","44,12",,,"69,95","78,65","81,7","62,24","67,02","76,71",,,,,"78,97",,,"42,18","40,53","51,64",,"91,68",,,"93,65",,"58,19","64,76","77,9",,"66,51",,,,,"34,71","39,74","4,51","13,17","30,41","72,29","10,6","11,7","22,2","72,56","40,31",,,,,,,,,,,,,,,,"70,31","83,15","85,93","82,2","89,1","92,15",,,,5,"11,9","25,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,01","92,07","91,86",,,,,,,,"82,52","99,22",,,,"87,14",,"87,69","73,17","83,97",,,,,,,"73,7",,,,"73,59","44,86",,,,,,,,,,,,,,,,,,,,,,,,"73,62",,,,,,,"96,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoCov2,,"47,15",,,,,,,,,,,"40,71",,,,,,,"70,38",,,,,,"63,16","76,92","83,33","30,82","42,98","49,13",,,"73,3","83,05","85,4","66,04","72,85","79,8",,,,"87,02",,"92,93","92,74","39,69","40,4","51,75",,,,,,,"58,19",68,"79,81",,,"90,26","79,16","88,1",,"31,42","38,44","4,44","13,97","31,12",,"10,5","10,1","25,5",,,,,,"64,34",,,,,,,,,,"89,75",,"72,44","84,02","86,98","83,02","91,22","94,05",,,,"3,2","10,6","26,1",,,,"96,05",,,,,"41,78","33,02","54,83","48,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSSL,,"48,1",,,,,,,,,,,"46,26",,,,,,"72,86","70,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSL4EO,"35,3","42,1","42,7","31,8",,,,,,,,,,,"17,5","89,05",,"51,7","91,8",,,,,"87,6",,"53,37","68,46",77,"25,37","37,96","45,4","94,74",,"66,65","76,75","81,1","56,6","64,64","74,59","49,37","61,23",,,,"91,54",,"47,18","48,61","59,95","64,01",,,,,,"51,43","65,9","79,71",,,,,,"34,5","38,55","45,18","9,86","22,38","42,66",,"7,6","9,8","17,5",,,,,,,,,,,,,,,,,,,,,"81,67","90,47",,,,,"2,3",7,"16,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC-NWPU-DOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,49","78,34",,,,,"58,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC-BigEarthNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,49","79,56",,,,,"58,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC-ImageNet 200k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,31","78,63",,,,,"58,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASSL MoCov2-TP,,,,,,,,,,,,,"46,26",,,,,,"86,11","80,2",,,"93,06",,,,,,,,,,,,,,,,,,"65,65","67,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,34","71,55","57,1",,,"70,11","74,42","17,65","78,48",,,"89,51",,,,,,,,"40,12",,,,,,,"48,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASSL MoCov2-TP+Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,56","70,6","57,63",,,"69,56","72,76","17,74","78,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,4",,,,,,,,,,,,,,,,,,,
GASSL MoCov2,,,,,,,,,,,,,"40,71",,,,,,"86,05","80,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,34",,,,,"68,64","15,45","78,05",,,,,,,,,,,"40,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASSL MoCoV2-Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,6","69,04","58,23",,,"66,93","70,48","15,63","78,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeCo,,"48,18","39,8","29,4",,,,,,,,,"49,82","13,9",16,,,,,"82,82","63,6",88.0,"92,91","89,64",82.0,"38,35","55,89","63,87","20,39","30,21","38,34","95,99","93,47",50,"61,55","68,55","41,76","55,46","63,87",,,,,,,"89,64","48,21",,"59,73",,,,"97,1",,,"34,1","46,29","72,19",,,,,"87,72",,"36,76","46,4","8,72","23,27","43,77",,"0,9","0,9",0,,,,,,,,,,,"66,8","17,2","77,09",,,,92.0,,,,"55,95","65,5","77,55","46,94",81.0,,0,0,"0,8",,,,"96,26",,,,,,"34,72","62,87","51,87","53,27","86,7",,,,,,,,,,,,,,,,,,,"59,6",,,,"45,2","77,5","22,7",,,,,,,,,,,,,,,,,
DINO-MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SatMAE ViT-L,"32,8","39,9",,,,,,,,,,,"52,76","14,8","16,2","87,65","58,19",,,"86,18","68,9",,"94,8","91,72",,,,,,,,"96,94","95,02",,,,,,,"46,55","65,66","70,89",,,"90,63",,,,,"62,97",,,,,,,,,,,,"70,6",,,,,,,,,,,,,,,,,,,,,,,,"78,07","22,742","62,1",,,,,,,,,"45,02",,,,,,,,,,,,,,,,,,"64,98","82,5",,,,,,"74,06",,"51,5","57,12",,,,,,,,,,,,,,,,,"61,4","49,7",,"61,5",,,,,,,,,,,,,
SatMAE ViT-B,,,,,,,,,,,,,,,,,"57,2",,,"85,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,58","45,53",,"58,17",,,,,,,"48,7",,,,,,,,,,,,,,,,,,,,,,,,,,
ViT-S IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,"98,1","97,6",,,,,,,,,,,,,,,,,,,,
ViT-B IN,,,,,,,,,,,,,"52,23",,,,,,,"84,7","73,6",,"95,23","90,96",,,,,,,,"97,95","96,24",,,,,,,,,,,,,,,,,,,"99,15","93,1",,"99,46",,,,,,,"72,6",,,,,,,,,,,,,,,,,,,,,,,,,,"61,9","98,83",,,,,,,,"30,73",,,,,,,,,,"62,64",,,"82,6",,,,,"68,49",,,,,,,,,,,,,,,,"82,2","48,3",,,,,,,,,,,,,,,,,,,,,,,,,,
ViT-L IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-BYOL,,,,,,,,,,,,,,,,,,,,,,86.0,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeCo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,04","72,77",,,,,,,,,,"79,72",,,,"77,65","57,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RingMo ViT,,,,,,,,,,,,,,,,"91,85",,,,,,,"95,35",,,,,,,,,"98,38","96,9",,,,,,,"46,21",,"75,9",,,"91,27","91,7",,,,"67,2",,,,,"99,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RingMo Swin-B,,,,,,,,,,,,,,,,,,,,,,,"95,67","94,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swin-B IN,,,,,,,,,,,,,,,,"91,16",,,"89,5","85,7","79,5",,,,,,,,,,,,,,,,,,,"45,91",,"74,7",,,"91,18","91,66",,,,"66,4",,,,,,,,,,,,"74,7",,,,,,,,,,,,,,,,,,,,,,,"16,3",,,,,,,,,,,,"52,35",,,,,,,,,,,,,,,,,,"69,62","90,4",,,,,,,,,,,,,,"87,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
